id,title,publication_date,publisher,category,score,last_read_date,writer,artist,editor,comment
379,The New Mutants (1983),,Marvel,,5,2022-02-13,,,,The cover!
380,The New Mutants (1983),,,,3,2022-02-15,,,,
381,The New Mutants (1983),,,,3,2022-02-16,,,,
382,The New Mutants (1983),1985-03-01,,,2,2022-09-04,,,,Nic nie zrozumiałem.
383,The New Mutants (1983),1985-04-01,,,3,2022-09-05,,,,
384,The New Mutants (1983),1985-05-01,,,3,2022-09-06,,,,
385,The New Mutants (1983),1985-06-01,,,4,2022-07-26,,,,
386,The New Mutants (1983),1985-07-01,,,4,2022-09-27,,,,The art! 80's all the way
387,The New Mutants (1983),1985-08-01,,,3,2022-10-07,,,,
388,The New Mutants (1983),1985-09-01,,,3,2022-10-07,,,,Last Sienkiewicz.
389,The New Mutants (1983),1985-10-01,,,2,2022-10-07,,,,Future new Mutants. Meh story. Meh new artist.
390,The New Mutants (1983),1985-11-01,,,2,2022-10-08,,,,Continued chaotic story of the return of fat Karma. Poor Sienkiewicz copy. Chaotic storytelling.
391,The New Mutants (1983),1985-12-01,,,3,2022-10-08,,,,"Just not a very good story continued, but the art is getting better"
392,The New Mutants (1983),1986-01-10,,,4,2022-10-09,,,,Magneto takes the school over. Neat and mature story.
393,The New Mutants (1983),1986-02-10,,,2,2022-10-11,,,,Beyonder issue. Meh.
394,The New Mutants (1983),1986-03-10,,,3,2022-10-11,,,,The only ok Beyonder story because Sienkiewicz.
395,The New Mutants (1983),1986-04-10,,,4,2022-10-11,,,,"Surprisingly enjoyed it, even if Sienkiewicz is only the inker. Magneto struggles to keep the school going."
396,The New Mutants (1983),1986-05-10,,,4,2022-10-12,,,,Magneto outfoxed by Emma Frost. Good flow.
397,The New Mutants (1983),1986-06-10,,,3,2022-10-16,,,,
398,The New Mutants (1983),1986-10-10,,,3,2022-10-19,,,,Legion.
399,The New Mutants (1983),1986-11-10,,,2,2022-10-20,,,,Suicide educational.
400,The New Mutants (1983),2022-11-11,,,3,2022-10-20,,,,Warlock's dad
401,The New Mutants (1983),1987-01-10,,,2,2022-10-22,,,,
402,The New Mutants (1983),1987-02-10,,,3,2022-10-24,,,,
403,The New Mutants (1983),1987-03-10,,,3,2022-10-25,,,,
404,The New Mutants (1983),1987-04-10,,,3,2022-12-25,,,,
405,The New Mutants (1983),1987-05-10,,,5,2022-12-26,,,,Love the art.
406,The New Mutants (1983),1987-06-10,,,4,2023-01-01,,,,
407,The New Mutants (1983),1987-07-10,,,3,2023-01-01,,,,
408,The New Mutants (1983),1987-08-10,,,3,2023-01-03,,,,
409,The New Mutants (1983),1987-09-10,,,3,2023-01-03,,,,
410,The New Mutants (1983),1987-10-10,,,3,2023-01-06,,,,
411,The New Mutants (1983),1987-11-10,,,3,2023-01-06,,,,
412,The New Mutants (1983),1987-12-10,,,2,2023-01-06,,,,
413,The New Mutants (1983),1988-01-10,,,2,2023-01-06,,,,
414,The New Mutants (1983),1988-02-10,,,3,2023-01-25,,,,
415,The New Mutants (1983),1988-03-10,,,2,2023-01-25,,,,
416,The New Mutants (1983),,,,3,2023-01-28,,,,
417,The New Mutants (1983),1988-05-01,,,3,2023-01-30,,,,
418,The New Mutants (1983),1988-06-01,,,4,2023-04-26,,,,
419,The New Mutants Annual,1986-01-01,,,2,2022-10-09,,,,"Messy story, ok art."
420,The New Mutants Annual,1987-01-01,,,4,2022-12-24,,,,fun story with Mr. Impossible vs Warlock
421,The New Mutants Marvel Graphic Novel,,,,3,,,,,
422,The Punisher (1986),1986-01-01,,,3,2022-10-08,,,,"I like the art, good movement, but no idea about the plot - seems to pick up from somewhere I haven't read."
423,The Punisher (1986),1986-02-01,,,2,2022-10-10,,,,"Something's off with the art, story bridge so meh."
424,The Punisher (1986),1986-03-01,,,2,2022-10-11,,,,"It's fine, clean art. Story average."
425,The Punisher (1986),1986-04-01,,,2,2022-10-11,,,,
426,The Punisher (1986),1986-05-01,,,2,2022-10-12,,,,
427,The Punisher (1987),1987-07-01,,,4,2023-01-01,,,,"Good art, OK story"
428,The Punisher (1987),1987-08-01,,,4,2023-01-02,,,,
429,The Punisher (1987),1987-10-01,,,3,2023-01-07,,,,
430,The Punisher (1987),1987-11-01,,,4,2023-01-10,,,,
431,The Punisher (1987),1988-01-01,,,1,2023-01-18,,,,
432,The Punisher (1987),1988-02-01,,,3,2023-01-27,,,,
433,The Punisher: Assassin's Guild (1988),1988-01-01,,,4,2022-01-17,,,,
434,The Thing  (1983),,,,4,2022-01-29,,,,
435,The Thing  (1983),,,,2,2022-01-29,,,,
436,The Thing  (1983),,,,4,2022-01-30,,,,
437,The Thing  (1983),,,,2,2022-01-31,,,,
438,The Thing (1983),,,,3,2022-02-08,,,,
439,The Thing (1983),,,,2,2022-02-09,,,,
440,The Thing (1983),,,,3,2022-02-09,,,,
441,The Thing (1983),,,,2,2022-02-09,,,,
442,The Thing (1983),,,,2,2022-02-10,,,,
443,The Thing (2021),,,,4,2022-02-22,,,,
444,Thor (1966),,Marvel,,5,2022-01-31,,,,
445,Thor (1966),,,,4,2022-01-31,,,,
446,Thor (1966),,,,4,2022-02-04,,,,
447,Thor (1966),,,,3,2022-02-07,,,,
448,Thor (1966),,,,3,2022-02-08,,,,
449,Thor (1966),,,,3,2022-02-08,,,,
450,Thor (1966),,,,4,2022-02-09,,,,
451,Thor (1966),,,,3,2022-02-09,,,,
452,Thor (1966),,,,3,2022-02-09,,,,
453,Thor (1966),,,,3,2022-02-10,,,,
454,Thor (1966),,,,2,2022-02-11,,,,
455,Thor (1966),,,,3,2022-02-12,,,,
456,Thor (1966),,,,2,2022-02-14,,,,
457,Thor (1966),,,,3,2022-02-16,,,,
458,Thor (1966),,,,,2002-02-16,,,,
459,Thor (1966),,,,3,2022-09-02,,,,
460,Thor: God of Thunder (2012),,,,4,2022-02-16,Jason Aaron,Esad Ribic,,"Historia typa, który postanowił zabić bogów. Mroczne ale wciągające dzięki świetnej kresce."
461,Thorgal,,,,4,2022-11-20,,,,
462,Thorgal,,,,3,2023-02-01,,,,
463,Thorgal,,,,3,2023-01-15,,,,
464,Tony Stark:Iron Man (2018),,Marvel,,5,2022-02-19,,,,
465,Tony Stark:Iron Man (2018),,,,3,2022-02-20,,,,
466,Tony Stark:Iron Man (2018),,,,4,2022-02-20,,,,
467,Tony Stark:Iron Man (2018),,,,4,2022-02-20,,,,
468,Tony Stark:Iron Man (2018),,,,4,2022-02-20,,,,
469,Tony Stark:Iron Man (2018),,,,2,2022-02-20,,,,
470,Tony Stark:Iron Man (2018),,,,3,2022-02-20,,,,
471,Tony Stark:Iron Man (2018),,,,3,2022-02-23,,,,
472,Tony Stark:Iron Man (2018),,,,4,2022-02-23,,,,
473,Transmetropolitan,,,,5,2023-01-02,,,,Transmetrpolitan Book One
474,Transmetropolitan,,,,5,2023-01-04,,,,Transmetrpolitan Book One
475,Transmetropolitan,,,,5,2023-01-04,,,,Transmetrpolitan Book One
476,Transmetropolitan,,,,4,2023-01-05,,,,Transmetrpolitan Book One
477,Transmetropolitan,,,,5,2023-01-06,,,,Transmetrpolitan Book One
478,Transmetropolitan,,,,4,2023-01-06,,,,Transmetrpolitan Book One
479,Transmetropolitan,,,,5,2023-01-07,,,,Transmetrpolitan Book One
480,Transmetropolitan,,,,5,2023-01-08,,,,Transmetrpolitan Book One
481,Transmetropolitan,,,,4,2023-01-09,,,,Transmetrpolitan Book One
482,Transmetropolitan,,,,5,2023-01-10,,,,Transmetrpolitan Book One
483,Transmetropolitan,,,,,2023-02-14,,,,
484,Ultimate Comics Spider-Man (2009),,,,3,2022-02-05,,,,
485,Ultimate Comics Spider-Man (2009),,,,4,2022-02-05,,,,
486,Ultimate Fallout,,,,2,2022-02-05,,,,
487,Uncanny X-Men (1963),,,,3,2022-02-10,,,,
488,Uncanny X-Men (1963),1983-03-01,,,2,2022-01-23,Chris Claremont,Paul Smith,,"Koniec linii fabularnej o the Brood, Xavier umiera, ale dostaje nowe ciało. Do tego mamy zderzenie X-men z New Mutants. Trochę chaotyczne, trochę mało wybitne, trochę narysowane bez polotu ale w sumie okej."
489,Uncanny X-Men (1963),2022-04-01,,,3,2022-01-23,Chris Claremont,Paul Smith,"Louise Jones, Danny Fingeroth","Kitty strzela focha, bo nie chce do new mutants. Fajny, przejściowy odcinek plus klasyczna okładka. Dobry pacing. Czysta kreska i kolory."
490,Uncanny X-Men (1963),1983-05-01,,,2,2022-01-23,Chris Claremont,Paul Smith,,"X-meni poszukują Angel'a, porwanego przez władczynię podziemnego imperium mutantów. Trochę oklepana fabuła, kreska nie porywa, dalej skupiamy się na Kitty Pride."
491,Uncanny X-Men (1963),1983-06-01,,,1,2022-01-22,Chris Claremont,Paul Smith,"Louise Jones, Danny Fingeroth","Dziwnie słabo narysowany numer pomostowy, choć kończący wątek poboczny ludzi podziemia."
492,Uncanny X-Men (1963),1983-04-05,,,1,2022-01-23,Chris Claremont,Walt Simonson,"Louise Jones, Danny Fingeroth",Przejściowy odcinek z konfliktem Rogue i Storm w roli głównej. Miejscami fatalna kreska!
493,Uncanny X-Men (1963),,,,,2022-01-24,Chris Claremont,Paul Smith,,
494,Uncanny X-Men (1963),,,,2,2022-01-24,Chris Claremont,Paul Smith,,"Jak dwa oddzielne komiksy. Pierwszy słaby i dziwacznie narysowanty, drugi fajny i poważny, z monumentalnymi wydarzeniami."
495,Uncanny X-Men (1963),,,,3,2022-01-24,Chris Claremont,,,"Ma coś w sobie, ale nie wiem co. Może fakt, że posuwa wlekące się wątki do przodu."
496,Uncanny X-Men (1963),,,,3,2022-01-25,Chris Claremont,"Paul Smith, John Romita Jr.",,Prawie dałem 4 ale kreska miejscami była przekoszmarna. Koniec sagi powrotu Dark Phoenix.
497,Uncanny X-Men (1963),,,,2,2022-01-26,,,,"Mocno zbędny numer pomostowy, nieporuszający sensownie żadnego wątku."
498,Uncanny X-Men (1963),,,,3,2022-01-26,Chris Claremont,John Romita Jr.,Jim Shooter,"Punkty glownie za polaczone sily Romity Jr i Sr. Fajna i mozna kreska, mile tempo, choc w sumie niewiele sie dzieje. Kolejny pomost."
499,Uncanny X-Men (1963),,,,3,2022-01-26,Chris Claremont,John Romita Jr.,Louise Jones,"Fajna kreska, gęsta intryga."
500,Uncanny X-Men (1963),1983-12-06,,,,2022-01-28,Chris Claremont,John Romita Jr.,Louise Jones,
501,Uncanny X-Men (1963),,,,,,,,,
502,Uncanny X-Men (1963),,,,,,,,,
503,Uncanny X-Men (1963),,,,2,2022-01-31,,,,
504,Uncanny X-Men (1963),,,,4,2022-02-09,,,,
505,Uncanny X-Men (1963),,,,4,2022-02-09,,,,
506,Uncanny X-Men (1963),,,,4,2022-02-09,,,,
507,Uncanny X-Men (1963),,,,4,2022-02-10,,,,
508,Uncanny X-Men (1963),,,,1,2022-02-11,,,,
509,Uncanny X-Men (1963),,,,2,2022-02-12,,,,
510,Uncanny X-Men (1963),,,,2,2022-02-15,,,,
511,Uncanny X-Men (1963),,,,2,2022-02-16,,,,
512,Uncanny X-Men (1963),,,,1,2022-02-17,,,,
513,Uncanny X-Men (1963),,,,2,2022-09-04,,,,Narrative mess.
514,Uncanny X-Men (1963),2022-05-01,,,3,2022-09-05,,,,
515,Uncanny X-Men (1963),,,,3,2022-09-05,,,,Juggernout kontra Nimrod.
516,Uncanny X-Men (1963),,,,4,2022-09-06,,,,Powrrpack crossover
517,Uncanny X-Men (1963),1985-08-01,,,2,2022-09-11,,,,Beyonder i jakaś tam fabuła o Rachel z przyszłości. Słavy art.
518,Uncanny X-Men (1963),,,,2,2022-09-11,,,,Arcade porywa Kitty i Petera. Jak? Chuj wi.
519,Uncanny X-Men (1963),1985-10-01,Marvel,,5,2022-09-11,,,,Ororo powraca z zaswiatow. Wtf.
520,Uncanny X-Men (1963),2022-11-01,,,3,2022-09-12,,,,
521,Uncanny X-Men (1963),1985-12-01,,,2,2022-09-24,,,,Magneto trial. Messy.
522,Uncanny X-Men (1963),1986-01-01,,,4,2022-10-08,,,,"Cool art, good flow"
523,Uncanny X-Men (1963),1986-02-01,,,2,2022-10-10,,,,The beyonder fuckin suuuucks.
524,Uncanny X-Men (1963),1986-03-01,,,2,2022-10-11,,,,"Beyonder continued, shit."
525,Uncanny X-Men (1963),1986-04-01,,,3,2022-10-11,,,,"Fuckin Arcade, hate him. But enjoyable."
526,Uncanny X-Men (1963),1986-05-10,Marvel,,5,2022-10-13,,,,WTF was that?
527,Uncanny X-Men (1963),1986-06-01,,,3,2022-10-15,,,,
528,Uncanny X-Men (1963),1986-07-01,,,3,2022-10-15,,,,
529,Uncanny X-Men (1963),1986-08-01,,,2,2022-10-18,,,,
530,Uncanny X-Men (1963),2022-11-01,,,4,2022-10-19,,,,
531,Uncanny X-Men (1963),,,,,2022-10-20,,,,
532,Uncanny X-Men (1963),1987-01-01,,,3,2022-10-21,,,,
533,Uncanny X-Men (1963),1987-02-01,,,3,2022-10-23,,,,
534,Uncanny X-Men (1963),1987-03-01,,,4,2022-12-24,,,,Storm gets kidnapped.
535,Uncanny X-Men (1963),1987-04-01,,,4,2022-12-24,,,,
536,Uncanny X-Men (1963),1987-05-01,,,3,2022-12-26,,,,
537,Uncanny X-Men (1963),1987-06-01,,,2,2022-12-26,,,,
538,Uncanny X-Men (1963),1987-07-01,,,4,2022-12-28,,,,Fun! Havok goes back to New York where Magneto is putting the new X-Men together.
539,Uncanny X-Men (1963),1987-08-01,,,4,2022-12-28,,,,Ororo looking for Forge. Nice introspective.
540,Uncanny X-Men (1963),1987-09-01,,,2,2022-12-28,,,,"Why is this so shut all of the sudden? Previousissues had a good story, this sucks. "
541,Uncanny X-Men (1963),1987-10-01,,,2,2023-01-04,,,,
542,Uncanny X-Men (1963),1987-11-01,,,2,2023-01-04,,,,
543,Uncanny X-Men (1963),1987-12-01,,,2,2023-01-05,,,,
544,Uncanny X-Men (1963),1988-01-01,,,3,2023-01-12,,,,
545,Uncanny X-Men (1963),1988-02-01,,,2,2023-01-12,,,,
546,Uncanny X-Men (1963),1988-03-01,,,3,2023-01-21,,,,
547,Uncanny X-Men (1963),1988-04-01,,,2,2023-01-21,,,,"Good art, meh storry"
548,Uncanny X-Men (1963),,,,4,2023-04-19,,,,
549,Uncanny X-Men (1963),,,,3,2023-04-21,,,,
550,Uncanny X-Men (1963),,,,4,2023-04-21,,,,
551,Uncanny X-Men (1963),,,,3,2023-04-21,,,,
552,Uncanny X-Men (1963),,,,3,2023-04-30,,,,
553,Uncanny X-Men (1963),,,,2,2023-04-30,,,,
554,Uncanny X-Men (2018),,,,3,2022-02-20,,,,
555,Uncanny X-Men (2018),,,,3,2022-02-22,,,,
556,Uncanny X-Men (2018),,,,3,2022-02-22,,,,
557,Uncanny X-Men (2018),,,,3,2022-02-22,,,,
558,Uncanny X-Men (2018),,,,4,2022-02-22,,,,
559,Uncanny X-Men (2018),,,,3,2022-02-23,,,,
560,Uncanny X-Men (2018),,,,4,2022-03-02,,,,
561,Uncanny X-Men (2018),,,,3,2022-03-12,,,,
562,Uncanny X-Men (2018),,,,3,2022-03-12,,,,
563,Uncanny X-Men (2018),,,,,,,,,
564,Uncanny X-men Annual (2019),,,,3,2022-02-22,,,,
565,Venom (2018),,,,3,2022-01-26,,,,"Fajny początek wątku w którym Eddie Brock dowiaduje się o istnieniu innych symbiotów. Dobra kreska, dobre tempo - robi robotę."
566,Venom (2018),,,,3,2022-01-26,,,,Seria dalej trzyma poziom. Mogło by być numerem wspólnym z poprzednim.
567,Venom (2018),,,,4,2022-01-26,,,,Objawienie Knulla. Akcja wartka i bez dłużyzn. Pojawia się też Spider-Man
568,Venom (2018),,,,2,2022-01-26,,,,"Tempo spowalnia. Poznajemy historie Knulla. Taki bardzo pomostowy odcinek, ale seria ciągle dobra."
569,Venom (2018),,,,3,2022-01-26,,,,"Posuwamy intrygę do przodu. Venom odbija się id dna i rusza za Knullem. Ciągle dobra intryga i dobra seria, którą czyta się gładko."
570,Venom (2018),,,,2,2022-01-25,,,,Podstawowy problem - niewiele zrozumiałem. Część ilustracji za gęsta do odcyfrowania.
571,Web of Spider-Man,,,,2,2022-01-26,,,,Symbiot znajduje Parkera. Przegadane. Dziwni łotrowie - stado ptaków zainspirowanych Vuluturem.
572,Web of Venam: Ve'nam,,,,2,2022-01-22,,,,"Symbioty - skąd się wzięły? Jest Nick Fury i Wolverine, a akcja toczy się w 1966 w Wietnamie. Pierwsze strony porywają, a potem trochę już dziwnie, miejscami jak Anime."
573,West Coast Avengers (1985),1984-09-01,,,3,2022-02-09,,,,
574,West Coast Avengers (1985),1984-10-01,,,2,2022-02-09,,,,"Kolejne odwołanie do przeszłości - wątku egipskiego. Fabuła jednak nieco niezrozumiała, trochę chaosu, kreska też nie nawiązująca do oryginalnej FF w takim stopniu, jak też nawiązujący do tych samych wydarzeń Doctor Strange #53."
575,Winter Soldier (2018),,,,2,2022-02-22,,,,średnio podoba mi się kreska
576,Winter Soldier (2018),,,,2,2022-02-22,,,,
577,Wolverine (1982),,,,3,,,,,
578,Wolverine (1982),,,,3,,,,,
579,Wolverine (1982),,,,3,,,,,
580,Wolverine (1982),,,,3,,,,,
581,Wolverine (2020),,,,4,2022-12-16,,,,Dawn of X vol. 7.
582,Wolverine (2020),,,,4,2022-12-18,,,,Dawn of X vol. 8.
583,Wolverine (2020),,,,4,2022-12-18,,,,Dawn of X vol. 8.
584,Wonder Woman,,,,3,2023-04-10,,,,
585,Wonder Woman,,,,,,,,,
586,X-Factor (1986),1986-02-01,,,2,2022-10-10,,,,"Too much text, average story. Weak debut."
587,X-Factor (1986),1986-03-01,,,3,2022-10-11,,,,Enjoying the simplicity. The Beast kidnapped!
588,X-Factor (1986),1986-04-10,,,4,2022-10-12,,,,Bit long for the story told. Breaking out Hank
589,X-Factor (1986),1986-04-01,,,3,2022-10-11,,,,
590,X-Factor (1986),1986-05-10,,,3,2022-10-15,,,,
591,X-Factor (1986),1986-06-10,,,2,2022-10-17,,,,Apocalypse!
592,X-Factor (1986),1986-07-10,,,2,2022-10-18,,,,
593,X-Factor (1986),1986-12-01,,,2,2022-10-20,,,,Mess
594,X-Factor (1986),1987-01-01,,,4,2022-12-24,,,,"Fun story, introduction to Boom Boom"
595,X-Factor (1986),1987-02-01,,,3,2022-10-23,,,,
596,X-Factor (1986),1987-03-01,,,3,2022-12-24,,,,Average art and story 
597,X-Factor (1986),1987-04-01,,,3,2022-09-23,,,,Pierwszy raz Apocalypse?
598,X-Factor (1986),1987-05-01,,,3,2022-12-25,,,,
599,X-Factor (1986),1987-06-01,,,1,2022-12-28,,,,I don't care for it 
600,X-Factor (1986),1987-07-01,,,2,2022-12-29,,,,
601,X-Factor (1986),1987-08-01,,,2,2022-12-29,,,,Boring
602,X-Factor (1986),1987-09-01,,,2,2023-01-04,,,,
603,X-Factor (1986),1987-10-01,,,3,2023-01-05,,,,
604,X-Factor (1986),1987-11-01,,,2,2023-01-05,,,,
605,X-Factor (1986),1987-12-01,,,3,2023-01-05,,,,
606,X-Factor (1986),1988-01-01,,,3,2023-01-12,,,,
607,X-Factor (1986),1988-03-01,,,3,2023-02-01,,,,
608,X-Factor (1986),1988-04-01,,,2,2023-02-01,,,,
609,X-Factor (1986),,,,,2023-04-30,,,,
610,X-Factor (2019),,,,4,2022-11-24,,,,
611,X-Factor Annual,1986-10-01,,,4,2022-10-19,,,,Good story
612,X-Force (2019),,,,3,2022-12-18,,,,Dawn of X vol. 8.
613,X-Force (2019),,,,3,2022-12-18,,,,Dawn of X vol. 8.
614,X-Men (2019),,,,4,2022-02-19,,,,
615,X-Men (2019),,,,4,2022-11-24,,,,
616,X-Men (2019),,,,4,2022-12-16,,,,Dawn of X vol. 7.
617,X-Men (2019),,,,3,2022-12-20,,,,Dawn of X vol. 9.
618,X-Men Annual (1970),1985-01-01,,,2,2022-09-08,,,,Kinda shitty and unclear art. Story jumps from point to point randomly. I don't like Thor that much.
619,X-Men Annual (1970),1987-01-01,,,3,2022-10-22,,,,
620,X-Men vs. Avengers (1987),,,,3,2022-12-25,,,,
621,X-Men vs. Avengers (1987),1987-05-01,,,3,2022-12-26,,,,Average vs. story 
622,"X-men: God Loves, Man Kills Special Edition",,,,,2022-01-28,,,,
623,X-Terminators (1988),1988-01-01,,,3,2023-01-12,,,,
624,X-Terminators (1988),1988-02-01,,,3,2023-01-21,,,,
625,X-Terminators (1988),,,,2,2022-01-29,,,,
626,X-Terminators (1988),,,,1,2023-01-30,,,,
627,Yoda (2022),,,,4,2024-04-19,,,,
628,Yoda (2022),,,,4,2024-04-19,,,,
