id,title,publication_date,publisher,category,score,last_read_date,writer,artist,editor,comment
130,Fantastic Four (1961),1991-01-01,,,3,2022-01-22,Walt Simonson,"Arthur Adams, Gracine Thanaka",Ralph Macchio,"Kontynuacja fabuły z alternatywną Fantastyczną Czwórką. Ciągle fajna kreska, dobre tempo, niezły humor i odwołania do klasycznych postaci."
131,Fantastic Four (1961),1991-02-01,,,3,2022-01-23,Walt Simonson,"Arthur Adams, Gracine Thanaka",Ralph Macchio,"Koniec naprawdę fajnej mini serii - trzy odcinki to idealna długość. Humor i kreska, plus dobry pacing."
132,Fantastic Four (1998),2002-07-01,,,3,2022-01-22,,Stuart Immonen,,"Narodziny drugiego dziecka Sue i Richarda, świetny twist z Dr. Doomem w roli położnika. Bez dłużyzn, z fajną, współczesną kreską."
133,Fantastic Four (1998),2009-05-27,,,3,2022-02-14,,,,
134,Fantastic Four (1998),2009-06-24,,,2,2022-02-14,,,,
135,Fantastic Four (1998),2009-07-22,,,4,2022-02-15,,,,
136,Fantastic Four Annual,1965-07-01,,,4,2022-01-22,Stan Lee,Jack Kirby,Stan Lee,"Ślub Sue i Richarda. Przegląd wszystkich klasycznych złoczyńców i aktualny zestaw bohaterów. Miszmasz, for better or for worse."
137,Fantastic Four Annual,1968-08-13,,,3,2022-01-23,Stan Lee,Jack Kirby,Stan Lee,"Narodziny Franklina, powrót do Negatywnej Zony w poszukiwaniu ratunku dla Sue, debiut Annihilusa. FF rośnie i się zmienia, ale od tego momentu temp historii uniwersum spada i wchodzi zasada 14 lat. Niby klasyka gatunku, ale trochę męczące."
138,Fantastic Four: World's Greatest Comics Magazine (2001),2000-12-20,,,4,,"Erik Larsen, Eric Stephenson"," Ruce Timm, Keith Giffen, Jorge Lucas, Erik Larsen",Bobbie Chase,"Call-back i what if, czyli co by było, gdyby styl Kirby'ego i Lee dotrwał do 100 numeru Fantastic Four. Współczesny homage do stylu sprzed 40 lat. Czyta się zgrabniej i wygodniej niż oryginał."
139,Fantastic Four: World's Greatest Comics Magazine (2001),,,,,,,,,
140,Fantastic Four: World's Greatest Comics Magazine (2001),,,,,,,,,
141,Fantastic Four: World's Greatest Comics Magazine (2001),,,,,,,,,
142,Fantastic Four: World's Greatest Comics Magazine (2001),,,,,,,,,
143,Fantastic Four: World's Greatest Comics Magazine (2001),,,,,,,,,
144,Fantastic Four: World's Greatest Comics Magazine (2001),,,,,,,,,
145,Fantastic Four: World's Greatest Comics Magazine (2001),,,,,,,,,
146,Fantastic Four: World's Greatest Comics Magazine (2001),,,,,,,,,
147,Fantastic Four: World's Greatest Comics Magazine (2001),,,,,,,,,
148,Fantastic Four: World's Greatest Comics Magazine (2001),,,,,,,,,
149,Fantastic Four: World's Greatest Comics Magazine (2001),,,,,,,,,
150,GCPD The Blue Wall (2022),2022-10-18,DC,,5,2022-11-27,John Ridley,Stefano Raffaele,Ben Abernathy,"Young cops in Gotham, kinda cool, kinda deep."
151,GCPD The Blue Wall (2022),2022-11-16,,,4,2023-01-28,,,,
152,GCPD The Blue Wall (2022),2023-01-18,DC,,5,2023-01-29,,,,
153,GCPD The Blue Wall (2022),2023-02-15,,,5,2023-01-29,,,,
154,GCPD The Blue Wall (2022),2023-03-15,,,3,2023-03-19,,,,"Why is Ortega an amazing commando all of a sudden, he was just a rookie"
155,GCPD The Blue Wall (2022),2023-04-19,,,,,,,,
156,Giant-Size X-Men: Jean Grey and Emma Frost (2020),,,,1,2022-12-19,,,,Dawn of X vol. 8.
157,Gotham City Year One (2022),,DC,,5,2022-11-28,,,,
158,Gotham City Year One (2022),,DC,,5,2022-11-30,,,,
159,Gotham City Year One (2022),,DC,,4,2022-12-14,,,,
160,Gotham City Year One (2022),,,,5,2023-01-15,,,,
161,Gotham City Year One (2022),,,,,2023-02-07,,,,
162,Gotham City Year One (2022),,,,,2023-03-28,,,,
163,Hawkeye (1983),,,,1,2022-01-30,,,,
164,Hercules: Prince of Power (1983),,,,4,,,,,
165,Hercules: Prince of Power (1983),,,,4,,,,,
166,Hercules: Prince of Power (1983),,,,4,,,,,
167,Hercules: Prince of Power (1983),,,,4,2022-01-23,,,,
168,Hulk/Thing Big Change,1987-08-11,,,4,,Jim Starlin,Bernie Wrighston,,"Fajna historia niemal w klimatach Sci-Fi o Hulku i The Thing teleportowanych na obcą planetę. Super kreska, bo to graphic novel, plus dobry humor choć sama historia nieco prostawa. Mimo to unikat."
169,Iceman (1984),,,,2,2022-02-12,,,,
170,Iceman (1984),1985-02-01,,,3,2022-09-04,,,,"It's ok, nothing to write home about but time travel is always good"
171,Iceman (1984),1985-04-01,,,2,2022-09-04,,,,What is going on
172,Iceman (1984),1984-06-01,,,2,2022-09-06,,,,What a mess
173,Immortal Hulk (2018),2018-06-06,,,3,2022-02-19,,,,
174,Immortal Hulk (2018),2018-07-04,,,4,2022-02-20,,,,
175,Immortal Hulk (2018),2018-07-18,,,4,2022-02-22,,,,
176,Immortal Hulk (2018),2018-08-15,,,4,2022-02-22,,,,
177,Immortal Hulk (2018),2018-09-19,,,4,2022-02-22,,,,
178,Immortal Hulk (2018),2018-10-17,,,3,2022-02-22,,,,
179,Immortal Hulk (2018),2018-11-21,,,4,2022-02-22,,,,
180,Immortal Hulk (2018),2018-12-19,,,4,2022-02-22,,,,
181,Immortal Hulk (2018),2019-01-23,,,4,2022-02-22,,,,
182,Immortal Hulk (2018),2019-02-20,,,3,2022-02-22,,,,
183,Immortal Hulk (2018),2019-03-20,,,3,2022-02-22,,,,
184,Immortal Hulk (2018),2019-04-17,,,3,2022-02-22,,,,
185,Immortal Hulk (2018),2019-05-22,,,2,2022-02-22,,,,
186,Immortal Hulk (2018),2019-06-26,,,3,2022-03-02,,,,
187,Immortal Hulk (2018),2019-07-17,,,2,2022-03-12,,,,
188,Immortal Hulk (2018),2019-08-21,,,3,2022-03-12,,,,
189,Incredible Hulk (1962),1984-01-01,,,2,2022-02-05,,,,
190,Iron Man (1968),,,,1,2022-01-30,,,,
191,Iron Man (1968),,,,4,2022-02-08,,,,
192,Iron Man (1968),1985-03-01,,,3,2022-09-05,,,,"Rhody kontra Stark w starym stroju. Jeden z tych fajnych, introspektywnych odcinkow o byciu bohaterem."
193,Iron Man (2020),,,,3,2022-02-18,,,,
194,Iron Man (2020),,,,4,2022-02-19,,,,
195,Iron Man (2020),,,,4,2022-02-19,,,,
196,Iron Man (2020),,,,3,2022-02-19,,,,
197,Iron Man (2020),,,,4,2022-02-19,,,,
198,Ironman (1968),1985-11-01,,,4,2022-09-05,,,,Stane i jego alternatywny kostium. Podstawa do filmu. Dobrze sie czyta.
199,Kitty Pryde and Wolverine (1984),,,,3,2022-02-12,,,,
200,Kitty Pryde and Wolverine (1984),,,,2,2022-02-12,,,,
201,Kitty Pryde and Wolverine (1984),,,,3,2022-02-16,,,,
202,Kitty Pryde and Wolverine (1984),,,,2,2022-02-22,,,,
203,Kitty Pryde and Wolverine (1984),,,,3,2022-09-04,,,,
204,Kitty Pryde and Wolverine (1984),,,,2,2022-09-04,,,,
205,Lazarus Planet Alpha,,,,3,2023-01-24,,,,
206,Lazarus Planet Assault on Krypton,,,,4,2023-01-25,,,,
207,Lazarus Planet Dark Fate,,,,2,2023-03-20,,,,
208,Lazarus Planet Legends Reborn,,,,4,2023-02-14,,,,
209,Lazarus Planet Next Evolution,,,,2,2023-04-27,,,,
210,Lazarus Planet Omega,,,,3,2023-03-21,,,,
211,Lazarus Planet We Once Were Gods,,,,2,2023-04-15,,,,
212,Machine Man (1984),,,,3,2022-02-10,,,,
213,Machine Man (1984),,,,3,2022-02-11,,,,
214,Machine Man (1984),,,,3,2022-02-13,,,,
215,Machine Man (1984),,,,3,2022-02-15,,,,
216,Man Without Fear (2019),,,,2,2022-02-22,,,,
217,Marauders (2019),,,,3,2022-12-16,,,,Dawn of X vol. 7.
218,Marauders (2019),,,,3,2022-12-18,,,,Dawn of X vol. 8. No idea what's going on.
219,Marauders (2019),,,,2,2022-12-19,,,,Dawn of X vol. 9. Wtf us this art. Why us Emma Frost do different in every issue?
220,Marvel 1602,,,,,,,,,
221,Marvel 1602,,,,,,,,,
222,Marvel 1602,,,,,,,,,
223,Marvel 1602,,,,,,,,,
224,Marvel 1602,,,,,,,,,
225,Marvel 1602,,,,,,,,,
226,Marvel 1602,,,,,2022-01-23,,,,
227,Marvel 1602,,,,,2022-01-23,,,,
228,Marvel 1602: New World,,,,2,,,,,"Powinno być super, a jakoś mnie nie wciągnęło. Stylistycznie i klimatycznie idealna kontynuacja, ale w oderwaniu od reszty nie działa - zasada Marvela jest jednak taka, że powinno"
229,Marvel Legacy,,,,,,,,,
230,Marvel Superhero Contest of Champions,,,,,,,,,
231,Marvel Superhero Contest of Champions,,,,,,,,,
232,Marvel Superhero Contest of Champions,,,,,2022-01-22,,,,
233,Miles Morales: Spider Man (2018),,,,3,2022-02-22,,,,
234,Miles Morales: Spider Man (2018),,,,3,2022-02-22,,,,
235,New Mutants (2019),,Marvel,,5,2022-11-24,,,,"Dawn of X vol. 6. Good art, good story about death and mutant powers."
236,New Mutants (2019),2022-02-19,Marvel,,5,2022-12-01,Jonathan Hickman,Rod Reis,,Dawn of X vol. 7. Love the art and humor.
237,New Mutants (2019),,,,3,2022-12-19,,,,Dawn of X vol. 9. Middling.
238,Phoenix: The Untold Story (1983),,,,3,2022-02-08,,,,
239,Power Pack (1984),,,,3,2022-02-09,,,,
240,Power Pack (1984),1985-11-01,,,2,2022-01-23,Louise Simonson,June Brigman,"Carl Potts, Rosemary McCormick-Lowy","Kosmita ucieka ze swojej planety i donajduje swoich kuzynów, Power Pack, któzy pomagają mu się ukryć. Pojawia się też Franklin z Fantastycznej Czwórki i pół."
241,Punisher,,,,3,2022-02-06,,,,
242,Rick and Morty,,,,,,,,,
243,Robin Year One,,,,,,,,,
244,Rocket Racoon,,,,3,2022-09-06,,,,WTF
245,Rocket Racoon,1985-06-10,,,2,2022-09-12,,,,
246,Rocket Racoon,1985-07-10,,,1,2022-09-30,,,,
247,Rocket Racoon,1985-08-10,,,2,2022-09-30,,,,
248,Sandman,,,,,,,,,
249,Secret Wars (1984),,,,3,2022-01-24,Jim Shooter,,,"Special event z całą kolekcją bohaterów i łotrów. Czyta się gładko. Nie jest to graphic novel, ale kreska jest okej."
250,Secret Wars (1984),,,,2,2022-01-24,Jim Shooter,,,"Utrata tempa z lierwszego odcinka. Niby dzieje się sporo, ale tak naprawdę niewiele. Dużo Dr. Dooma, który okazuje się ważną postacią."
251,Secret Wars (1984),,,,2,2022-01-24,,,,"Trochę trudno się zorientować, co się dzieje"
252,Secret Wars (1984),,,,,,,,,
253,Secret Wars (1984),,,,2,2022-01-31,,,,
254,Secret Wars (1984),,,,2,2022-01-31,,,,
255,Secret Wars (1984),,,,2,2022-02-01,,,,
256,Secret Wars (1984),,,,1,2022-02-01,,,,
257,Secret Wars (1984),,,,2,2022-02-03,,,,
258,Secret Wars II (1985),1985-07-01,,,2,2022-10-02,,,,
259,Secret Wars II (1985),1985-08-01,,,2,2022-10-03,,,,
260,Secret Wars II (1985),1985-09-01,,,1,2022-10-03,,,,
261,Secret Wars II (1985),1985-10-01,,,1,2022-10-09,,,,"Trash art, trash story."
262,Secret Wars II (1985),2022-11-01,,,2,2022-10-09,,,,
263,Secret Wars II (1985),2022-12-01,,,2,2022-10-09,,,,
264,Secret Wars II (1985),1986-01-01,,,1,2022-10-09,,,,Mess
265,Secret Wars II (1985),1986-02-01,,,1,2022-10-11,,,,
266,Secret Wars II (1985),1986-03-01,,,2,2022-10-11,,,,Better but Instill dont get it.
267,Silver Surfer (1983),,,,,2022-01-26,,,,
268,Silver Surfer: Black ,,,,3,2022-01-25,,,,"Początek serii Black. Choć to współczesna kreska, którą lubię, to tu jest całkiem średnio - niektóre obrazki są wręcz trudne do rozszyfrowania."
269,Star Trek,2022-11-01,IDW,,4,2022-11-22,,,,Sisko returns.
270,Star Trek,,IDW,,2,2022-12-16,,,,"Poor art, characters don't look like themselves. Grammar mistakes."
271,Star Trek,,,,4,2023-01-27,,,,
272,Star Trek,,,,3,2023-02-12,,,,
273,Star Trek,,,,3,2023-04-14,,,,
274,Star Trek,,,,3,2023-04-26,,,,
275,Star Trek,,IDW,,,,,,,
276,Star Trek Lower Decks,,,,4,2022-11-25,,,,
277,Star Trek Lower Decks,,,,4,2022-11-25,,,,
278,Star Trek Lower Decks,,IDW,,4,2022-12-12,,,,
279,Star Trek Resurgence (2022),2022-11-16,IDW,,2,2023-01-13,,,,
280,Star Trek Resurgence (2022),,,,2,2023-01-13,,,,
281,Star Trek Resurgence (2022),,,,3,2023-01-26,,,,
282,Star Trek Resurgence (2022),,,,3,2023-03-20,,,,
283,Star Trek: Deep Space 9,,,,4,2023-04-24,,,,
284,Star Trek: Defiant,,,,2,2023-04-24,,,,
285,Star Trek: Defiant,,,,3,2024-04-26,,,,
286,Star Trek: Resurgence ,,,,4,,,,,
287,Star Wars: Age of Republic - Jango Fett (2019),,,,3,2022-02-22,,,,
288,Star Wars: Doctor Aphra (2016),,,,4,2022-01-30,,,,
289,Star Wars: Doctor Aphra (2016),,,,4,2022-01-31,,,,
290,Star Wars: Doctor Aphra (2016),,,,3,2022-02-03,,,,
291,Star Wars: Doctor Aphra (2016),,,,3,2022-02-03,,,,
292,Star Wars: Doctor Aphra (2016),,,,3,2022-02-03,,,,
293,Star Wars: Doctor Aphra (2016),,,,2,2022-02-04,,,,
294,Star Wars: Doctor Aphra (2016),,,,2,2022-02-04,,,,
295,Star Wars: Doctor Aphra (2016),,,,3,2022-02-05,,,,
296,Star Wars: Doctor Aphra (2016),,,,4,2022-02-05,,,,
297,Star Wars: Doctor Aphra (2016),,,,3,2022-02-10,,,,
298,Star Wars: Doctor Aphra (2016),,,,3,2022-02-10,,,,
299,Star Wars: Doctor Aphra (2016),,,,4,2022-02-18,,,,
300,Star Wars: Doctor Aphra (2016),,,,3,2022-02-18,,,,
301,Star Wars: Doctor Aphra (2016),,,,2,2022-02-22,,,,
302,Star Wars: Doctor Aphra (2016),2017-12-20,,,3,2022-10-02,,,,
303,Star Wars: Doctor Aphra (2016),2018-01-31,,,4,2022-10-03,,,,
304,Star Wars: Doctor Aphra (2020),,Marvel,,,,,,,
305,Star Wars: The High Republic (2022),2022-10-12,,,4,2022-01-17,,,,
306,Star Wars: The High Republic (2022),,,,4,2022-04-19,,,,
307,Star Wars: The High Republic (2022),,,,4,2023-04-26,,,,
308,Strikeforce Morituri (1986),1986-12-01,,,4,2022-10-20,,,,
309,Strikeforce Morituri (1986),1987-01-01,,,3,2022-10-22,,,,
310,Strikeforce Morituri (1986),1987-02-01,,,3,2022-10-24,,,,
311,Strikeforce Morituri (1986),1987-03-01,,,3,2022-12-25,,,,
312,Strikeforce Morituri (1986),1987-04-01,,,3,2022-12-25,,,,
313,Strikeforce Morituri (1986),1987-05-01,,,2,2022-12-26,,,,Outdated references 
314,Strikeforce Morituri (1986),,,,,,,,,
315,Strikeforce Morituri (1986),,,,,,,,,
316,Strikeforce Morituri (1986),1987-08-01,,,3,2023-01-02,,,,
317,Strikeforce Morituri (1986),1987-09-01,,,4,2023-01-04,,,,
318,Strikeforce Morituri (1986),1987-10-01,,,3,2023-01-11,,,,
319,Strikeforce Morituri (1986),1987-11-01,Marvel,,4,2023-01-11,,,,
320,Strikeforce Morituri (1986),1987-12-01,Marvel,,4,2023-01-11,,,,
321,Super-villain Classics (1983),,,,3,2022-02-04,,,,Historia Galactusa. odwołanie do stylu Kirby'ego.
322,Superman (2023),,,,3,2023-03-21,,,,
323,Superman (2023),,,,3,2023-04-24,,,,
324,Superman (2023),,,,4,2023-02-24,,,,
325,Superman: Kal-el Returns Special,,DC,,2,2022-12-16,,,,Kal-el Returns Tie-in; Superman reunites with various people. A mess.
326,Superman: Son of Kal-El,,DC,,3,2022-11-26,,,,Kal-el Returns Part 1; Reunion; Batman & Joker sneak peak
327,Superman: Son of Kal-El,,DC,,2,2022-12-16,,,,Kal-el Returns Part 3; Not feeling the art or plot flow
328,Superman: Son of Kal-El,,DC,,3,2022-12-16,,,,Kal-el Returns Part 6; Solid end of series
329,Tales of the Marvels: Ruins,1995-08-01,,,4,2022-01-30,,,,
330,Tales of the Marvels: Ruins,1995-09-01,,,4,2022-01-30,,,,
331,The 'NAM (1986),1986-12-01,Marvel,,5,2022-10-19,,,,
332,The 'NAM (1986),1987-01-01,,,4,2022-10-21,,,,
333,The 'NAM (1986),1987-02-01,,,4,2022-10-24,,,,Saigon!
334,The 'NAM (1986),1987-03-01,,,5,2022-12-24,,,,Smooth story with great art 
335,The 'NAM (1986),1987-04-01,,,3,2022-12-25,,,,Still great art but the story was uninspired 
336,The 'NAM (1986),2022-05-01,,,3,2022-12-26,,,,
337,The 'NAM (1986),1987-06-01,,,3,2022-12-29,,,,Guest artist shows the history of Vietnam 
338,The 'NAM (1986),1987-07-01,,,3,2023-01-03,,,,
339,The 'NAM (1986),1987-08-01,,,3,2023-01-03,,,,
340,The 'NAM (1986),1987-09-01,,,4,2023-01-04,,,,
341,The 'NAM (1986),1987-10-01,,,3,2023-01-07,,,,
342,The 'NAM (1986),1987-11-01,,,3,2023-01-07,,,,
343,The 'NAM (1986),1987-12-01,,,4,2023-01-07,,,,
344,The 'NAM (1986),1988-01-01,,,4,2023-01-11,,,,
345,The 'NAM (1986),1988-02-01,,,3,2023-01-18,,,,
346,The Amazing Spider-Man (1963),,,,4,2022-02-13,,,,
347,The Amazing Spider-Man (1963),,,,3,2022-02-15,,,,
348,The Amazing Spider-Man (1963),,,,3,2022-02-16,,,,
349,The Amazing Spider-Man (1963),,,,1,2022-02-18,,,,
350,The Amazing Spider-Man (1963),,,,4,2022-09-04,,,,Komediowy odcinek o żabach.
351,The Amazing Spider-Man (1963),,,,3,2022-10-13,,,,Shitty fake-out
352,The Amazing Spider-Man (1963),,,,3,2022-01-25,David Michelinie,Todd Macfarlane,,Pierwszy numer McFarlane'a. Fajna historia i chyba zajawka Veonm'a na koncu? Kreska McFarlane'a jest zaskakujaco klasyczna.
353,The Amazing Spider-Man (1963),,,,3,2022-01-25,David Michelinie,Todd Macfarlane,,Ciąg dalszy i koniec wątku z Chance. Pojawia się Venom. Fajnie się czyta.
354,The Amazing Spider-Man (1963),1988-12-01,Marvel,,5,2022-01-23,David Michelinie,Todd Macfarlane,Jim Salicrup,"Klasyka. Wszystko gra. Venom pokonany. Świetna kreska, dobre tempo. Mniam."
355,The Avengers,,,,2,2022-01-29,,,,
356,The Avengers,,,,3,2022-09-04,,,,Vision porywa wszystkie komputery swiata. Rozkosznie retro.
357,The Avengers,,,,3,2022-09-04,,,,Koniec fabułki z szalejącym Vizh.
358,The Exiled,,,,4,2023-04-16,,,,
359,The Exiled,,,,2,2023-04-16,,,,
360,The Flash,,,,4,2024-04-15,,,,
361,The Flash,,,,4,2024-04-15,,,,
362,The Flash: One Minute War Special,,,,5,2023-02-07,,,,
363,The New Mutants (1983),,,,2,2022-01-23,,,,"Początek nowej serii, po wprowadzeniu w noweli graficznej. Tytaj poznajemy nowych bohaterów, więc sporo gadania i ogólnie to dość przeciętny, ale nieporywający."
364,The New Mutants (1983),,,,3,2022-01-23,,,,"Nowi mutanci w akcji. Szybki i wartki odcinek, dobra kreska. Sentinels!"
365,The New Mutants (1983),,,,2,2022-01-23,Chris Claremont,Sal Buscema,,Nieporywający odcinek środka; dzieje się sporo ale nie jest to jakaś historia tysiąclecia. Artwork przeciętny.
366,The New Mutants (1983),,,,2,2022-01-23,,,,"Dużo akcji, bez wpadek artystycznych ale ogólnie brak porywających mnie osobiście wątków. Środek trylogii."
367,The New Mutants (1983),,,,2,2022-01-25,Jim Shooter,Sal Buscema,,"Kolejny odcinek z dużą dozą akcji i porządną kreską Buscemy. Wkraczamy w terytorium przygodowe, choć głównym wrogiem zdaje się być po prost Hellfire Club. Poszukiwania Xian trwają.fffffff ffffff fffffffffffffffcfvvrevrvrvrvrvrvrvrvrvrvrvrvrvrvrvrvrvrvrvrvrvrvrvrevrvrvrvrvrvrvrvrvrevevvervrvrvrvrvvrevvrvrvrvrvrvrvrevrvrvrvrvrvrvrvrvrevrvrevvrvrvrvrvrvrevvrvevrvrvrvervrvrvrvrvc"
368,The New Mutants (1983),,,,3,,,,,"Fajna przygoda i zaskakująco dobra, gęsta kreska Buscemy"
369,The New Mutants (1983),1983-11-01,,,3,2022-01-28,,,,
370,The New Mutants (1983),,,,,2022-01-28,,,,
371,The New Mutants (1983),,,,,2022-01-28,,,,
372,The New Mutants (1983),,,,,2022-01-28,,,,
373,The New Mutants (1983),1984-03-01,,,3,2022-10-08,,,,"First CypherDoug appearance. OK story, OK Buscema art."
374,The New Mutants (1983),,,,3,2022-02-09,,,,
375,The New Mutants (1983),,,,2,2022-02-09,,,,
376,The New Mutants (1983),1984-04-24,Marvel,,5,2022-01-25,Chris Clermont,Bill Sienkiewicz,Ann Noncenti,Początek Sienkiewicza. Super wręcz artystyczna kreska.
377,The New Mutants (1983),,,,3,2022-02-10,,,,
378,The New Mutants (1983),,,,3,2022-02-11,,,,
